ID,Name,HiddenAbility,Generation,Hp,Attack,Defense,SpecialAttack,SpecialDefense,Speed,TotalStats,Weight,Height,GenderProbM,Category,CatchRate,EggCycles,LevelingRate,BaseFriendship,IsLegendary,IsMythical,HasMega,EvoStage,TotalEvoStages,PreevoName,DamageFromNormal,DamageFromFighting,DamageFromFlying,DamageFromPoison,DamageFromGround,DamageFromRock,DamageFromBug,DamageFromGhost,DamageFromSteel,DamageFromFire,DamageFromWater,DamageFromGrass,DamageFromElectric,DamageFromPsychic,DamageFromIce,DamageFromDragon,DamageFromDark,DamageFromFairy,Ability 1,Ability 2,NoGender,IsMega,FightsWon,TotalFights,WinPercentage,Type_Bug,Type_Dark,Type_Dragon,Type_Electric,Type_Fairy,Type_Fighting,Type_Fire,Type_Flying,Type_Ghost,Type_Grass,Type_Ground,Type_Ice,Type_Normal,Type_Poison,Type_Psychic,Type_Rock,Type_Steel,Type_Water,Egg_Amorphous,Egg_Bug,Egg_Ditto,Egg_Dragon,"Egg_Dragon', 'Flying",Egg_Fairy,"Egg_Fairy', 'Mineral",Egg_Field,"Egg_Field', 'Fairy","Egg_Field', 'Human-Like",Egg_Flying,Egg_Grass,Egg_Human-Like,"Egg_Human-Like', 'Amorphous",Egg_Mineral,Egg_Monster,"Egg_Monster', 'Dragon","Egg_Monster', 'Field","Egg_Monster', 'Grass","Egg_Monster', 'Water 1",Egg_No Eggs Discovered,Egg_Water 1,Egg_Water 2,"Egg_Water 2', 'Dragon",Egg_Water 3
11,Wartortle,Rain Dish,1,59.0,63.0,80.0,65.0,80.0,58.0,405.0,22.5,1.0,0.875,Turtle Pokémon,45,20,1059860,70,0,0,0,2,3,Squirtle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0,Torrent,None,0,0,59,141,0.41844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0,1,0,0.0,0
12,Blastoise,Rain Dish,1,79.0,83.0,100.0,85.0,105.0,78.0,530.0,85.5,1.6,0.875,Shellfish Pokémon,45,20,1059860,70,0,0,1,3,3,Wartortle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0,Torrent,None,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0,1,0,0.0,0
13,Mega Blastoise,None,1,79.0,103.0,120.0,135.0,115.0,78.0,630.0,101.1,1.6,0.875,Shellfish Pokémon,45,20,1059860,70,0,0,1,3,3,Blastoise,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0,Mega Launcher,None,0,1,83,144,0.576389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,1.0,1,0,0,0.0,0
14,Caterpie,Run Away,1,45.0,30.0,35.0,20.0,20.0,45.0,195.0,2.9,0.3,0.5,Worm Pokémon,255,15,1000000,70,0,0,0,1,3,No Preevolution,1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,Shield Dust,None,0,0,17,115,0.147826,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0
15,Metapod,None,1,50.0,20.0,55.0,25.0,25.0,30.0,205.0,9.9,0.7,0.5,Cocoon Pokémon,120,15,1000000,70,0,0,0,2,3,Caterpie,1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,Shed Skin,None,0,0,13,133,0.097744,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0
16,Butterfree,Tinted Lens,1,60.0,45.0,50.0,90.0,80.0,70.0,395.0,32.0,1.1,0.5,Butterfly Pokémon,45,15,1000000,70,0,0,0,3,3,Metapod,1.0,0.25,2.0,1.0,0.0,4.0,0.5,1.0,1.0,2.0,1.0,0.25,2.0,1.0,2.0,1.0,1.0,1.0,Compound Eyes,None,0,0,75,120,0.625,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0
17,Weedle,Run Away,1,40.0,35.0,30.0,20.0,20.0,50.0,195.0,3.2,0.3,0.5,Hairy Bug Pokémon,255,15,1000000,70,0,0,0,1,3,No Preevolution,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5,Shield Dust,None,0,0,26,111,0.234234,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0
18,Kakuna,None,1,45.0,25.0,50.0,25.0,25.0,35.0,205.0,10.0,0.6,0.5,Cocoon Pokémon,120,15,1000000,70,0,0,0,2,3,Weedle,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5,Shed Skin,None,0,0,17,130,0.130769,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0
19,Beedrill,Sniper,1,65.0,90.0,40.0,45.0,80.0,75.0,395.0,29.5,1.0,0.5,Poison Bee Pokémon,45,15,1000000,70,0,0,1,3,3,Kakuna,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5,Swarm,None,0,0,80,128,0.625,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0
20,Mega Beedrill,None,1,65.0,150.0,40.0,15.0,80.0,145.0,495.0,40.5,1.4,0.5,Poison Bee Pokémon,45,15,1000000,70,0,0,1,3,3,Beedrill,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5,Adaptability,None,0,1,115,119,0.966387,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0
21,Pidgey,Big Pecks,1,40.0,45.0,40.0,35.0,35.0,56.0,251.0,1.8,0.3,0.5,Tiny Bird Pokémon,255,15,1059860,70,0,0,0,1,3,No Preevolution,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,Keen Eye,Tangled Feet,0,0,47,126,0.373016,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0
22,Pidgeotto,Big Pecks,1,63.0,60.0,55.0,50.0,50.0,71.0,349.0,30.0,1.1,0.5,Bird Pokémon,120,15,1059860,70,0,0,0,2,3,Pidgey,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,Keen Eye,Tangled Feet,0,0,64,121,0.528926,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0
23,Pidgeot,Big Pecks,1,83.0,80.0,75.0,70.0,70.0,101.0,479.0,39.5,1.5,0.5,Bird Pokémon,45,15,1059860,70,0,0,1,3,3,Pidgeotto,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,Keen Eye,Tangled Feet,0,0,112,130,0.861538,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0
24,Mega Pidgeot,None,1,83.0,80.0,80.0,135.0,80.0,121.0,579.0,50.5,2.2,0.5,Bird Pokémon,45,15,1059860,70,0,0,1,3,3,Pidgeot,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,No Guard,None,0,1,119,126,0.944444,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0
25,Rattata,Hustle,1,30.0,56.0,35.0,25.0,35.0,72.0,253.0,3.5,0.3,0.5,Mouse Pokémon,255,15,1000000,70,0,0,0,1,2,No Preevolution,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Run Away,Guts,0,0,65,135,0.481481,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,1,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0
26,Raticate,Hustle,1,55.0,81.0,60.0,50.0,70.0,97.0,413.0,18.5,0.7,0.5,Mouse Pokémon,127,15,1000000,70,0,0,0,2,2,Rattata,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Run Away,Guts,0,0,101,140,0.721429,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,1,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0
27,Spearow,Sniper,1,40.0,60.0,30.0,31.0,31.0,70.0,262.0,2.0,0.3,0.5,Tiny Bird Pokémon,255,15,1000000,70,0,0,0,1,2,No Preevolution,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,Keen Eye,None,0,0,62,138,0.449275,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0
28,Fearow,Sniper,1,65.0,90.0,65.0,61.0,61.0,100.0,442.0,38.0,1.2,0.5,Beak Pokémon,90,15,1000000,70,0,0,0,2,2,Spearow,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,Keen Eye,None,0,0,103,123,0.837398,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0
29,Ekans,Unnerve,1,35.0,60.0,44.0,40.0,54.0,55.0,288.0,6.9,2.0,0.5,Snake Pokémon,255,20,1000000,70,0,0,0,1,2,No Preevolution,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,Intimidate,Shed Skin,0,0,48,131,0.366412,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,1,0.0,0,0.0,1,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
30,Arbok,Unnerve,1,60.0,95.0,69.0,65.0,79.0,80.0,448.0,65.0,3.5,0.5,Cobra Pokémon,90,20,1000000,70,0,0,0,2,2,Ekans,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,Intimidate,Shed Skin,0,0,72,125,0.576,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,1,0.0,0,0.0,1,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
31,Pikachu,Lightning Rod,1,35.0,55.0,40.0,50.0,50.0,90.0,320.0,6.0,0.4,0.5,Mouse Pokémon,190,10,1000000,70,0,0,0,2,3,Pichu,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,Static,None,0,0,93,136,0.683824,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.0,1,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
32,Raichu,Lightning Rod,1,60.0,90.0,55.0,90.0,80.0,110.0,485.0,30.0,0.8,0.5,Mouse Pokémon,75,10,1000000,70,0,0,0,3,3,Pikachu,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,Static,None,0,0,105,121,0.867769,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.0,1,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
33,Sandshrew,Sand Rush,1,50.0,75.0,85.0,20.0,30.0,40.0,300.0,12.0,0.6,0.5,Mouse Pokémon,255,20,1000000,70,0,0,0,1,2,No Preevolution,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,Sand Veil,None,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,1,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0
34,Sandslash,Sand Rush,1,75.0,100.0,110.0,45.0,55.0,65.0,450.0,29.5,1.0,0.5,Mouse Pokémon,90,20,1000000,70,0,0,0,2,2,Sandshrew,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,Sand Veil,None,0,0,56,105,0.533333,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,1,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0
35,Nidoran♀,Hustle,1,55.0,47.0,52.0,40.0,40.0,41.0,275.0,7.0,0.4,0.0,Poison Pin Pokémon,235,20,1059860,70,0,0,0,1,3,No Preevolution,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,Poison Point,Rivalry,0,0,20,119,0.168067,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0.0,0,0.0,1,0.0,0.0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0
36,Nidorina,Hustle,1,70.0,62.0,67.0,55.0,55.0,56.0,365.0,20.0,0.8,0.0,Poison Pin Pokémon,120,20,1059860,70,0,0,0,2,3,Nidoran♀,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,Poison Point,Rivalry,0,0,57,148,0.385135,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,2,0,0,0.0,0
37,Nidoqueen,Sheer Force,1,90.0,92.0,87.0,75.0,85.0,76.0,505.0,60.0,1.3,0.0,Drill Pokémon,45,20,1059860,70,0,0,0,3,3,Nidorina,1.0,0.5,1.0,0.25,2.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.5,Poison Point,Rivalry,0,0,66,122,0.540984,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,2,0,0,0.0,0
38,Nidoran♂,Hustle,1,46.0,57.0,40.0,40.0,40.0,50.0,273.0,9.0,0.5,1.0,Poison Pin Pokémon,235,20,1059860,70,0,0,0,1,3,No Preevolution,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,Poison Point,Rivalry,0,0,34,136,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0.0,0,0.0,1,0.0,0.0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0
39,Nidorino,Hustle,1,61.0,72.0,57.0,55.0,55.0,65.0,365.0,19.5,0.9,1.0,Poison Pin Pokémon,120,20,1059860,70,0,0,0,2,3,Nidoran♂,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,Poison Point,Rivalry,0,0,51,128,0.398438,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0.0,0,0.0,1,0.0,0.0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0
40,Nidoking,Sheer Force,1,81.0,102.0,77.0,85.0,75.0,85.0,505.0,62.0,1.4,1.0,Drill Pokémon,45,20,1059860,70,0,0,0,3,3,Nidorino,1.0,0.5,1.0,0.25,2.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.5,Poison Point,Rivalry,0,0,79,140,0.564286,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0.0,1,0.0,0.0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0
41,Clefairy,Friend Guard,1,70.0,45.0,48.0,60.0,65.0,35.0,323.0,7.5,0.6,0.25,Fairy Pokémon,150,10,800000,140,0,0,0,2,3,Cleffa,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,Cute Charm,Magic Guard,0,0,20,127,0.15748,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0
42,Clefable,Unaware,1,95.0,70.0,73.0,95.0,90.0,60.0,483.0,40.0,1.3,0.25,Fairy Pokémon,25,10,800000,140,0,0,0,3,3,Clefairy,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,Cute Charm,Magic Guard,0,0,49,123,0.398374,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0
